path,line,message
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,794,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,893,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,894,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,895,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,903,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1200,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1717,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1738,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1790,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1792,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1835,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1856,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1862,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1863,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1864,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1933,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,2205,Hardcoded secret (API key / token / private key / password). Remove & rotate.
code/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,2773,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,794,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,893,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,894,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,895,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,903,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1200,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1717,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1738,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1790,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1792,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1835,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1856,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1862,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1863,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1864,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1933,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,2205,Hardcoded secret (API key / token / private key / password). Remove & rotate.
install/extracted/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,2773,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,794,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,893,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,894,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,895,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,903,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1200,Hardcoded secret (API key / token / private key / password). Remove & rotate.
semgrep_extracted/api/api/API/DeMasterProCloud.Common/Infrastructure/Constants.cs,1717,Hardcoded secret (API key / token / private key / password). Remove & rotate.
